market_hash_name,weapon,pattern,rarity,exterior,base_name
Five-SeveN | Case Hardened (Minimal Wear),Five-SeveN,Case Hardened,Restricted,Minimal Wear,Five-SeveN | Case Hardened
Five-SeveN | Case Hardened (Field-Tested),Five-SeveN,Case Hardened,Restricted,Field-Tested,Five-SeveN | Case Hardened
Five-SeveN | Case Hardened (Well-Worn),Five-SeveN,Case Hardened,Restricted,Well-Worn,Five-SeveN | Case Hardened
Five-SeveN | Case Hardened (Battle-Scarred),Five-SeveN,Case Hardened,Restricted,Battle-Scarred,Five-SeveN | Case Hardened
Five-SeveN | Angry Mob (Factory New),Five-SeveN,Angry Mob,Covert,Factory New,Five-SeveN | Angry Mob
Five-SeveN | Angry Mob (Minimal Wear),Five-SeveN,Angry Mob,Covert,Minimal Wear,Five-SeveN | Angry Mob
Five-SeveN | Angry Mob (Field-Tested),Five-SeveN,Angry Mob,Covert,Field-Tested,Five-SeveN | Angry Mob
Five-SeveN | Angry Mob (Well-Worn),Five-SeveN,Angry Mob,Covert,Well-Worn,Five-SeveN | Angry Mob
Five-SeveN | Angry Mob (Battle-Scarred),Five-SeveN,Angry Mob,Covert,Battle-Scarred,Five-SeveN | Angry Mob
Five-SeveN | Violent Daimyo (Factory New),Five-SeveN,Violent Daimyo,Mil-Spec Grade,Factory New,Five-SeveN | Violent Daimyo
Five-SeveN | Violent Daimyo (Minimal Wear),Five-SeveN,Violent Daimyo,Mil-Spec Grade,Minimal Wear,Five-SeveN | Violent Daimyo
Five-SeveN | Violent Daimyo (Field-Tested),Five-SeveN,Violent Daimyo,Mil-Spec Grade,Field-Tested,Five-SeveN | Violent Daimyo
Five-SeveN | Violent Daimyo (Well-Worn),Five-SeveN,Violent Daimyo,Mil-Spec Grade,Well-Worn,Five-SeveN | Violent Daimyo
Five-SeveN | Violent Daimyo (Battle-Scarred),Five-SeveN,Violent Daimyo,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Violent Daimyo
Five-SeveN | Fairy Tale (Factory New),Five-SeveN,Fairy Tale,Classified,Factory New,Five-SeveN | Fairy Tale
Five-SeveN | Fairy Tale (Minimal Wear),Five-SeveN,Fairy Tale,Classified,Minimal Wear,Five-SeveN | Fairy Tale
Five-SeveN | Fairy Tale (Field-Tested),Five-SeveN,Fairy Tale,Classified,Field-Tested,Five-SeveN | Fairy Tale
Five-SeveN | Fairy Tale (Well-Worn),Five-SeveN,Fairy Tale,Classified,Well-Worn,Five-SeveN | Fairy Tale
Five-SeveN | Fairy Tale (Battle-Scarred),Five-SeveN,Fairy Tale,Classified,Battle-Scarred,Five-SeveN | Fairy Tale
Five-SeveN | Scrawl (Factory New),Five-SeveN,Scrawl,Mil-Spec Grade,Factory New,Five-SeveN | Scrawl
Five-SeveN | Scrawl (Minimal Wear),Five-SeveN,Scrawl,Mil-Spec Grade,Minimal Wear,Five-SeveN | Scrawl
Five-SeveN | Scrawl (Field-Tested),Five-SeveN,Scrawl,Mil-Spec Grade,Field-Tested,Five-SeveN | Scrawl
Five-SeveN | Scrawl (Well-Worn),Five-SeveN,Scrawl,Mil-Spec Grade,Well-Worn,Five-SeveN | Scrawl
Five-SeveN | Scrawl (Battle-Scarred),Five-SeveN,Scrawl,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Scrawl
Five-SeveN | Triumvirate (Factory New),Five-SeveN,Triumvirate,Restricted,Factory New,Five-SeveN | Triumvirate
Five-SeveN | Triumvirate (Minimal Wear),Five-SeveN,Triumvirate,Restricted,Minimal Wear,Five-SeveN | Triumvirate
Five-SeveN | Triumvirate (Field-Tested),Five-SeveN,Triumvirate,Restricted,Field-Tested,Five-SeveN | Triumvirate
Five-SeveN | Triumvirate (Well-Worn),Five-SeveN,Triumvirate,Restricted,Well-Worn,Five-SeveN | Triumvirate
Five-SeveN | Triumvirate (Battle-Scarred),Five-SeveN,Triumvirate,Restricted,Battle-Scarred,Five-SeveN | Triumvirate
Five-SeveN | Monkey Business (Minimal Wear),Five-SeveN,Monkey Business,Classified,Minimal Wear,Five-SeveN | Monkey Business
Five-SeveN | Monkey Business (Field-Tested),Five-SeveN,Monkey Business,Classified,Field-Tested,Five-SeveN | Monkey Business
Five-SeveN | Monkey Business (Well-Worn),Five-SeveN,Monkey Business,Classified,Well-Worn,Five-SeveN | Monkey Business
Five-SeveN | Monkey Business (Battle-Scarred),Five-SeveN,Monkey Business,Classified,Battle-Scarred,Five-SeveN | Monkey Business
Five-SeveN | Buddy (Factory New),Five-SeveN,Buddy,Restricted,Factory New,Five-SeveN | Buddy
Five-SeveN | Buddy (Minimal Wear),Five-SeveN,Buddy,Restricted,Minimal Wear,Five-SeveN | Buddy
Five-SeveN | Buddy (Field-Tested),Five-SeveN,Buddy,Restricted,Field-Tested,Five-SeveN | Buddy
Five-SeveN | Buddy (Well-Worn),Five-SeveN,Buddy,Restricted,Well-Worn,Five-SeveN | Buddy
Five-SeveN | Buddy (Battle-Scarred),Five-SeveN,Buddy,Restricted,Battle-Scarred,Five-SeveN | Buddy
Five-SeveN | Hyper Beast (Factory New),Five-SeveN,Hyper Beast,Covert,Factory New,Five-SeveN | Hyper Beast
Five-SeveN | Hyper Beast (Minimal Wear),Five-SeveN,Hyper Beast,Covert,Minimal Wear,Five-SeveN | Hyper Beast
Five-SeveN | Hyper Beast (Field-Tested),Five-SeveN,Hyper Beast,Covert,Field-Tested,Five-SeveN | Hyper Beast
Five-SeveN | Hyper Beast (Well-Worn),Five-SeveN,Hyper Beast,Covert,Well-Worn,Five-SeveN | Hyper Beast
Five-SeveN | Hyper Beast (Battle-Scarred),Five-SeveN,Hyper Beast,Covert,Battle-Scarred,Five-SeveN | Hyper Beast
Five-SeveN | Retrobution (Factory New),Five-SeveN,Retrobution,Restricted,Factory New,Five-SeveN | Retrobution
Five-SeveN | Retrobution (Minimal Wear),Five-SeveN,Retrobution,Restricted,Minimal Wear,Five-SeveN | Retrobution
Five-SeveN | Retrobution (Field-Tested),Five-SeveN,Retrobution,Restricted,Field-Tested,Five-SeveN | Retrobution
Five-SeveN | Retrobution (Well-Worn),Five-SeveN,Retrobution,Restricted,Well-Worn,Five-SeveN | Retrobution
Five-SeveN | Retrobution (Battle-Scarred),Five-SeveN,Retrobution,Restricted,Battle-Scarred,Five-SeveN | Retrobution
Five-SeveN | Urban Hazard (Factory New),Five-SeveN,Urban Hazard,Mil-Spec Grade,Factory New,Five-SeveN | Urban Hazard
Five-SeveN | Urban Hazard (Minimal Wear),Five-SeveN,Urban Hazard,Mil-Spec Grade,Minimal Wear,Five-SeveN | Urban Hazard
Five-SeveN | Urban Hazard (Field-Tested),Five-SeveN,Urban Hazard,Mil-Spec Grade,Field-Tested,Five-SeveN | Urban Hazard
Five-SeveN | Capillary (Factory New),Five-SeveN,Capillary,Mil-Spec Grade,Factory New,Five-SeveN | Capillary
Five-SeveN | Capillary (Minimal Wear),Five-SeveN,Capillary,Mil-Spec Grade,Minimal Wear,Five-SeveN | Capillary
Five-SeveN | Capillary (Field-Tested),Five-SeveN,Capillary,Mil-Spec Grade,Field-Tested,Five-SeveN | Capillary
Five-SeveN | Capillary (Well-Worn),Five-SeveN,Capillary,Mil-Spec Grade,Well-Worn,Five-SeveN | Capillary
Five-SeveN | Capillary (Battle-Scarred),Five-SeveN,Capillary,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Capillary
Five-SeveN | Fall Hazard (Factory New),Five-SeveN,Fall Hazard,Classified,Factory New,Five-SeveN | Fall Hazard
Five-SeveN | Fall Hazard (Minimal Wear),Five-SeveN,Fall Hazard,Classified,Minimal Wear,Five-SeveN | Fall Hazard
Five-SeveN | Fall Hazard (Field-Tested),Five-SeveN,Fall Hazard,Classified,Field-Tested,Five-SeveN | Fall Hazard
Five-SeveN | Fall Hazard (Well-Worn),Five-SeveN,Fall Hazard,Classified,Well-Worn,Five-SeveN | Fall Hazard
Five-SeveN | Fall Hazard (Battle-Scarred),Five-SeveN,Fall Hazard,Classified,Battle-Scarred,Five-SeveN | Fall Hazard
Five-SeveN | Hybrid (Factory New),Five-SeveN,Hybrid,Restricted,Factory New,Five-SeveN | Hybrid
Five-SeveN | Hybrid (Minimal Wear),Five-SeveN,Hybrid,Restricted,Minimal Wear,Five-SeveN | Hybrid
Five-SeveN | Hybrid (Field-Tested),Five-SeveN,Hybrid,Restricted,Field-Tested,Five-SeveN | Hybrid
Five-SeveN | Hybrid (Well-Worn),Five-SeveN,Hybrid,Restricted,Well-Worn,Five-SeveN | Hybrid
Five-SeveN | Hybrid (Battle-Scarred),Five-SeveN,Hybrid,Restricted,Battle-Scarred,Five-SeveN | Hybrid
Five-SeveN | Boost Protocol (Factory New),Five-SeveN,Boost Protocol,Restricted,Factory New,Five-SeveN | Boost Protocol
Five-SeveN | Boost Protocol (Minimal Wear),Five-SeveN,Boost Protocol,Restricted,Minimal Wear,Five-SeveN | Boost Protocol
Five-SeveN | Boost Protocol (Field-Tested),Five-SeveN,Boost Protocol,Restricted,Field-Tested,Five-SeveN | Boost Protocol
Five-SeveN | Boost Protocol (Well-Worn),Five-SeveN,Boost Protocol,Restricted,Well-Worn,Five-SeveN | Boost Protocol
Five-SeveN | Flame Test (Factory New),Five-SeveN,Flame Test,Mil-Spec Grade,Factory New,Five-SeveN | Flame Test
Five-SeveN | Flame Test (Minimal Wear),Five-SeveN,Flame Test,Mil-Spec Grade,Minimal Wear,Five-SeveN | Flame Test
Five-SeveN | Flame Test (Field-Tested),Five-SeveN,Flame Test,Mil-Spec Grade,Field-Tested,Five-SeveN | Flame Test
Five-SeveN | Flame Test (Well-Worn),Five-SeveN,Flame Test,Mil-Spec Grade,Well-Worn,Five-SeveN | Flame Test
Five-SeveN | Flame Test (Battle-Scarred),Five-SeveN,Flame Test,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Flame Test
Five-SeveN | Crimson Blossom (Factory New),Five-SeveN,Crimson Blossom,Mil-Spec Grade,Factory New,Five-SeveN | Crimson Blossom
Five-SeveN | Crimson Blossom (Minimal Wear),Five-SeveN,Crimson Blossom,Mil-Spec Grade,Minimal Wear,Five-SeveN | Crimson Blossom
Five-SeveN | Crimson Blossom (Field-Tested),Five-SeveN,Crimson Blossom,Mil-Spec Grade,Field-Tested,Five-SeveN | Crimson Blossom
Five-SeveN | Crimson Blossom (Well-Worn),Five-SeveN,Crimson Blossom,Mil-Spec Grade,Well-Worn,Five-SeveN | Crimson Blossom
Five-SeveN | Crimson Blossom (Battle-Scarred),Five-SeveN,Crimson Blossom,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Crimson Blossom
Five-SeveN | Coolant (Factory New),Five-SeveN,Coolant,Consumer Grade,Factory New,Five-SeveN | Coolant
Five-SeveN | Coolant (Minimal Wear),Five-SeveN,Coolant,Consumer Grade,Minimal Wear,Five-SeveN | Coolant
Five-SeveN | Coolant (Field-Tested),Five-SeveN,Coolant,Consumer Grade,Field-Tested,Five-SeveN | Coolant
Five-SeveN | Coolant (Well-Worn),Five-SeveN,Coolant,Consumer Grade,Well-Worn,Five-SeveN | Coolant
Five-SeveN | Coolant (Battle-Scarred),Five-SeveN,Coolant,Consumer Grade,Battle-Scarred,Five-SeveN | Coolant
Five-SeveN | Nightshade (Factory New),Five-SeveN,Nightshade,Mil-Spec Grade,Factory New,Five-SeveN | Nightshade
Five-SeveN | Nightshade (Minimal Wear),Five-SeveN,Nightshade,Mil-Spec Grade,Minimal Wear,Five-SeveN | Nightshade
Five-SeveN | Nightshade (Field-Tested),Five-SeveN,Nightshade,Mil-Spec Grade,Field-Tested,Five-SeveN | Nightshade
Five-SeveN | Nightshade (Well-Worn),Five-SeveN,Nightshade,Mil-Spec Grade,Well-Worn,Five-SeveN | Nightshade
Five-SeveN | Nightshade (Battle-Scarred),Five-SeveN,Nightshade,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Nightshade
Five-SeveN | Forest Night (Factory New),Five-SeveN,Forest Night,Consumer Grade,Factory New,Five-SeveN | Forest Night
Five-SeveN | Forest Night (Minimal Wear),Five-SeveN,Forest Night,Consumer Grade,Minimal Wear,Five-SeveN | Forest Night
Five-SeveN | Forest Night (Field-Tested),Five-SeveN,Forest Night,Consumer Grade,Field-Tested,Five-SeveN | Forest Night
Five-SeveN | Forest Night (Well-Worn),Five-SeveN,Forest Night,Consumer Grade,Well-Worn,Five-SeveN | Forest Night
Five-SeveN | Forest Night (Battle-Scarred),Five-SeveN,Forest Night,Consumer Grade,Battle-Scarred,Five-SeveN | Forest Night
Five-SeveN | Kami (Factory New),Five-SeveN,Kami,Mil-Spec Grade,Factory New,Five-SeveN | Kami
Five-SeveN | Kami (Minimal Wear),Five-SeveN,Kami,Mil-Spec Grade,Minimal Wear,Five-SeveN | Kami
Five-SeveN | Kami (Field-Tested),Five-SeveN,Kami,Mil-Spec Grade,Field-Tested,Five-SeveN | Kami
Five-SeveN | Neon Kimono (Factory New),Five-SeveN,Neon Kimono,Restricted,Factory New,Five-SeveN | Neon Kimono
Five-SeveN | Neon Kimono (Minimal Wear),Five-SeveN,Neon Kimono,Restricted,Minimal Wear,Five-SeveN | Neon Kimono
Five-SeveN | Neon Kimono (Field-Tested),Five-SeveN,Neon Kimono,Restricted,Field-Tested,Five-SeveN | Neon Kimono
Five-SeveN | Neon Kimono (Well-Worn),Five-SeveN,Neon Kimono,Restricted,Well-Worn,Five-SeveN | Neon Kimono
Five-SeveN | Neon Kimono (Battle-Scarred),Five-SeveN,Neon Kimono,Restricted,Battle-Scarred,Five-SeveN | Neon Kimono
Five-SeveN | Midnight Paintover (Factory New),Five-SeveN,Midnight Paintover,Industrial Grade,Factory New,Five-SeveN | Midnight Paintover
Five-SeveN | Midnight Paintover (Minimal Wear),Five-SeveN,Midnight Paintover,Industrial Grade,Minimal Wear,Five-SeveN | Midnight Paintover
Five-SeveN | Midnight Paintover (Field-Tested),Five-SeveN,Midnight Paintover,Industrial Grade,Field-Tested,Five-SeveN | Midnight Paintover
Five-SeveN | Midnight Paintover (Well-Worn),Five-SeveN,Midnight Paintover,Industrial Grade,Well-Worn,Five-SeveN | Midnight Paintover
Five-SeveN | Midnight Paintover (Battle-Scarred),Five-SeveN,Midnight Paintover,Industrial Grade,Battle-Scarred,Five-SeveN | Midnight Paintover
Five-SeveN | Hot Shot (Factory New),Five-SeveN,Hot Shot,Industrial Grade,Factory New,Five-SeveN | Hot Shot
Five-SeveN | Hot Shot (Minimal Wear),Five-SeveN,Hot Shot,Industrial Grade,Minimal Wear,Five-SeveN | Hot Shot
Five-SeveN | Hot Shot (Field-Tested),Five-SeveN,Hot Shot,Industrial Grade,Field-Tested,Five-SeveN | Hot Shot
Five-SeveN | Hot Shot (Well-Worn),Five-SeveN,Hot Shot,Industrial Grade,Well-Worn,Five-SeveN | Hot Shot
Five-SeveN | Hot Shot (Battle-Scarred),Five-SeveN,Hot Shot,Industrial Grade,Battle-Scarred,Five-SeveN | Hot Shot
Five-SeveN | Jungle (Factory New),Five-SeveN,Jungle,Consumer Grade,Factory New,Five-SeveN | Jungle
Five-SeveN | Jungle (Minimal Wear),Five-SeveN,Jungle,Consumer Grade,Minimal Wear,Five-SeveN | Jungle
Five-SeveN | Jungle (Field-Tested),Five-SeveN,Jungle,Consumer Grade,Field-Tested,Five-SeveN | Jungle
Five-SeveN | Jungle (Well-Worn),Five-SeveN,Jungle,Consumer Grade,Well-Worn,Five-SeveN | Jungle
Five-SeveN | Jungle (Battle-Scarred),Five-SeveN,Jungle,Consumer Grade,Battle-Scarred,Five-SeveN | Jungle
Five-SeveN | Nitro (Factory New),Five-SeveN,Nitro,Mil-Spec Grade,Factory New,Five-SeveN | Nitro
Five-SeveN | Nitro (Minimal Wear),Five-SeveN,Nitro,Mil-Spec Grade,Minimal Wear,Five-SeveN | Nitro
Five-SeveN | Nitro (Field-Tested),Five-SeveN,Nitro,Mil-Spec Grade,Field-Tested,Five-SeveN | Nitro
Five-SeveN | Nitro (Well-Worn),Five-SeveN,Nitro,Mil-Spec Grade,Well-Worn,Five-SeveN | Nitro
Five-SeveN | Nitro (Battle-Scarred),Five-SeveN,Nitro,Mil-Spec Grade,Battle-Scarred,Five-SeveN | Nitro
Five-SeveN | Contractor (Factory New),Five-SeveN,Contractor,Consumer Grade,Factory New,Five-SeveN | Contractor
Five-SeveN | Contractor (Minimal Wear),Five-SeveN,Contractor,Consumer Grade,Minimal Wear,Five-SeveN | Contractor
Five-SeveN | Contractor (Field-Tested),Five-SeveN,Contractor,Consumer Grade,Field-Tested,Five-SeveN | Contractor
Five-SeveN | Contractor (Well-Worn),Five-SeveN,Contractor,Consumer Grade,Well-Worn,Five-SeveN | Contractor
Five-SeveN | Contractor (Battle-Scarred),Five-SeveN,Contractor,Consumer Grade,Battle-Scarred,Five-SeveN | Contractor
Five-SeveN | Candy Apple (Factory New),Five-SeveN,Candy Apple,Industrial Grade,Factory New,Five-SeveN | Candy Apple
Five-SeveN | Candy Apple (Minimal Wear),Five-SeveN,Candy Apple,Industrial Grade,Minimal Wear,Five-SeveN | Candy Apple
Five-SeveN | Candy Apple (Field-Tested),Five-SeveN,Candy Apple,Industrial Grade,Field-Tested,Five-SeveN | Candy Apple
Five-SeveN | Sky Blue (Factory New),Five-SeveN,Sky Blue,Industrial Grade,Factory New,Five-SeveN | Sky Blue
Five-SeveN | Sky Blue (Minimal Wear),Five-SeveN,Sky Blue,Industrial Grade,Minimal Wear,Five-SeveN | Sky Blue
Five-SeveN | Sky Blue (Field-Tested),Five-SeveN,Sky Blue,Industrial Grade,Field-Tested,Five-SeveN | Sky Blue
Five-SeveN | Sky Blue (Well-Worn),Five-SeveN,Sky Blue,Industrial Grade,Well-Worn,Five-SeveN | Sky Blue
Five-SeveN | Sky Blue (Battle-Scarred),Five-SeveN,Sky Blue,Industrial Grade,Battle-Scarred,Five-SeveN | Sky Blue
Five-SeveN | Autumn Thicket (Factory New),Five-SeveN,Autumn Thicket,Consumer Grade,Factory New,Five-SeveN | Autumn Thicket
Five-SeveN | Autumn Thicket (Minimal Wear),Five-SeveN,Autumn Thicket,Consumer Grade,Minimal Wear,Five-SeveN | Autumn Thicket
Five-SeveN | Autumn Thicket (Field-Tested),Five-SeveN,Autumn Thicket,Consumer Grade,Field-Tested,Five-SeveN | Autumn Thicket
Five-SeveN | Autumn Thicket (Well-Worn),Five-SeveN,Autumn Thicket,Consumer Grade,Well-Worn,Five-SeveN | Autumn Thicket
Five-SeveN | Autumn Thicket (Battle-Scarred),Five-SeveN,Autumn Thicket,Consumer Grade,Battle-Scarred,Five-SeveN | Autumn Thicket
Five-SeveN | Withered Vine (Factory New),Five-SeveN,Withered Vine,Industrial Grade,Factory New,Five-SeveN | Withered Vine
Five-SeveN | Withered Vine (Minimal Wear),Five-SeveN,Withered Vine,Industrial Grade,Minimal Wear,Five-SeveN | Withered Vine
Five-SeveN | Withered Vine (Field-Tested),Five-SeveN,Withered Vine,Industrial Grade,Field-Tested,Five-SeveN | Withered Vine
Five-SeveN | Withered Vine (Well-Worn),Five-SeveN,Withered Vine,Industrial Grade,Well-Worn,Five-SeveN | Withered Vine
Five-SeveN | Withered Vine (Battle-Scarred),Five-SeveN,Withered Vine,Industrial Grade,Battle-Scarred,Five-SeveN | Withered Vine
Five-SeveN | Orange Peel (Factory New),Five-SeveN,Orange Peel,Industrial Grade,Factory New,Five-SeveN | Orange Peel
Five-SeveN | Orange Peel (Minimal Wear),Five-SeveN,Orange Peel,Industrial Grade,Minimal Wear,Five-SeveN | Orange Peel
Five-SeveN | Orange Peel (Field-Tested),Five-SeveN,Orange Peel,Industrial Grade,Field-Tested,Five-SeveN | Orange Peel
Five-SeveN | Orange Peel (Well-Worn),Five-SeveN,Orange Peel,Industrial Grade,Well-Worn,Five-SeveN | Orange Peel
Five-SeveN | Orange Peel (Battle-Scarred),Five-SeveN,Orange Peel,Industrial Grade,Battle-Scarred,Five-SeveN | Orange Peel
G3SG1 | Ancient Ritual (Factory New),G3SG1,Ancient Ritual,Industrial Grade,Factory New,G3SG1 | Ancient Ritual
G3SG1 | Ancient Ritual (Minimal Wear),G3SG1,Ancient Ritual,Industrial Grade,Minimal Wear,G3SG1 | Ancient Ritual
G3SG1 | Ancient Ritual (Field-Tested),G3SG1,Ancient Ritual,Industrial Grade,Field-Tested,G3SG1 | Ancient Ritual
G3SG1 | Ancient Ritual (Well-Worn),G3SG1,Ancient Ritual,Industrial Grade,Well-Worn,G3SG1 | Ancient Ritual
G3SG1 | Ancient Ritual (Battle-Scarred),G3SG1,Ancient Ritual,Industrial Grade,Battle-Scarred,G3SG1 | Ancient Ritual
G3SG1 | Murky (Factory New),G3SG1,Murky,Mil-Spec Grade,Factory New,G3SG1 | Murky
G3SG1 | Murky (Minimal Wear),G3SG1,Murky,Mil-Spec Grade,Minimal Wear,G3SG1 | Murky
G3SG1 | Murky (Field-Tested),G3SG1,Murky,Mil-Spec Grade,Field-Tested,G3SG1 | Murky
G3SG1 | Violet Murano (Factory New),G3SG1,Violet Murano,Mil-Spec Grade,Factory New,G3SG1 | Violet Murano
G3SG1 | Violet Murano (Minimal Wear),G3SG1,Violet Murano,Mil-Spec Grade,Minimal Wear,G3SG1 | Violet Murano
G3SG1 | Violet Murano (Field-Tested),G3SG1,Violet Murano,Mil-Spec Grade,Field-Tested,G3SG1 | Violet Murano
G3SG1 | Violet Murano (Well-Worn),G3SG1,Violet Murano,Mil-Spec Grade,Well-Worn,G3SG1 | Violet Murano
G3SG1 | Violet Murano (Battle-Scarred),G3SG1,Violet Murano,Mil-Spec Grade,Battle-Scarred,G3SG1 | Violet Murano
G3SG1 | Chronos (Factory New),G3SG1,Chronos,Restricted,Factory New,G3SG1 | Chronos
G3SG1 | Chronos (Minimal Wear),G3SG1,Chronos,Restricted,Minimal Wear,G3SG1 | Chronos
G3SG1 | Chronos (Field-Tested),G3SG1,Chronos,Restricted,Field-Tested,G3SG1 | Chronos
G3SG1 | Chronos (Well-Worn),G3SG1,Chronos,Restricted,Well-Worn,G3SG1 | Chronos
G3SG1 | Black Sand (Factory New),G3SG1,Black Sand,Mil-Spec Grade,Factory New,G3SG1 | Black Sand
G3SG1 | Black Sand (Minimal Wear),G3SG1,Black Sand,Mil-Spec Grade,Minimal Wear,G3SG1 | Black Sand
G3SG1 | Black Sand (Field-Tested),G3SG1,Black Sand,Mil-Spec Grade,Field-Tested,G3SG1 | Black Sand
G3SG1 | Black Sand (Well-Worn),G3SG1,Black Sand,Mil-Spec Grade,Well-Worn,G3SG1 | Black Sand
G3SG1 | Black Sand (Battle-Scarred),G3SG1,Black Sand,Mil-Spec Grade,Battle-Scarred,G3SG1 | Black Sand
G3SG1 | The Executioner (Minimal Wear),G3SG1,The Executioner,Classified,Minimal Wear,G3SG1 | The Executioner
G3SG1 | The Executioner (Field-Tested),G3SG1,The Executioner,Classified,Field-Tested,G3SG1 | The Executioner
G3SG1 | The Executioner (Well-Worn),G3SG1,The Executioner,Classified,Well-Worn,G3SG1 | The Executioner
G3SG1 | The Executioner (Battle-Scarred),G3SG1,The Executioner,Classified,Battle-Scarred,G3SG1 | The Executioner
G3SG1 | Dream Glade (Factory New),G3SG1,Dream Glade,Restricted,Factory New,G3SG1 | Dream Glade
G3SG1 | Dream Glade (Minimal Wear),G3SG1,Dream Glade,Restricted,Minimal Wear,G3SG1 | Dream Glade
G3SG1 | Dream Glade (Field-Tested),G3SG1,Dream Glade,Restricted,Field-Tested,G3SG1 | Dream Glade
G3SG1 | Dream Glade (Well-Worn),G3SG1,Dream Glade,Restricted,Well-Worn,G3SG1 | Dream Glade
G3SG1 | Dream Glade (Battle-Scarred),G3SG1,Dream Glade,Restricted,Battle-Scarred,G3SG1 | Dream Glade
G3SG1 | Keeping Tabs (Factory New),G3SG1,Keeping Tabs,Mil-Spec Grade,Factory New,G3SG1 | Keeping Tabs
G3SG1 | Keeping Tabs (Minimal Wear),G3SG1,Keeping Tabs,Mil-Spec Grade,Minimal Wear,G3SG1 | Keeping Tabs
G3SG1 | Keeping Tabs (Field-Tested),G3SG1,Keeping Tabs,Mil-Spec Grade,Field-Tested,G3SG1 | Keeping Tabs
G3SG1 | Keeping Tabs (Well-Worn),G3SG1,Keeping Tabs,Mil-Spec Grade,Well-Worn,G3SG1 | Keeping Tabs
G3SG1 | Keeping Tabs (Battle-Scarred),G3SG1,Keeping Tabs,Mil-Spec Grade,Battle-Scarred,G3SG1 | Keeping Tabs
G3SG1 | High Seas (Factory New),G3SG1,High Seas,Restricted,Factory New,G3SG1 | High Seas
G3SG1 | High Seas (Minimal Wear),G3SG1,High Seas,Restricted,Minimal Wear,G3SG1 | High Seas
G3SG1 | High Seas (Field-Tested),G3SG1,High Seas,Restricted,Field-Tested,G3SG1 | High Seas
G3SG1 | High Seas (Well-Worn),G3SG1,High Seas,Restricted,Well-Worn,G3SG1 | High Seas
G3SG1 | High Seas (Battle-Scarred),G3SG1,High Seas,Restricted,Battle-Scarred,G3SG1 | High Seas
G3SG1 | Hunter (Factory New),G3SG1,Hunter,Mil-Spec Grade,Factory New,G3SG1 | Hunter
G3SG1 | Hunter (Minimal Wear),G3SG1,Hunter,Mil-Spec Grade,Minimal Wear,G3SG1 | Hunter
G3SG1 | Hunter (Field-Tested),G3SG1,Hunter,Mil-Spec Grade,Field-Tested,G3SG1 | Hunter
G3SG1 | Hunter (Well-Worn),G3SG1,Hunter,Mil-Spec Grade,Well-Worn,G3SG1 | Hunter
G3SG1 | Hunter (Battle-Scarred),G3SG1,Hunter,Mil-Spec Grade,Battle-Scarred,G3SG1 | Hunter
G3SG1 | Digital Mesh (Factory New),G3SG1,Digital Mesh,Mil-Spec Grade,Factory New,G3SG1 | Digital Mesh
G3SG1 | Digital Mesh (Minimal Wear),G3SG1,Digital Mesh,Mil-Spec Grade,Minimal Wear,G3SG1 | Digital Mesh
G3SG1 | Digital Mesh (Field-Tested),G3SG1,Digital Mesh,Mil-Spec Grade,Field-Tested,G3SG1 | Digital Mesh
G3SG1 | Digital Mesh (Well-Worn),G3SG1,Digital Mesh,Mil-Spec Grade,Well-Worn,G3SG1 | Digital Mesh
G3SG1 | Digital Mesh (Battle-Scarred),G3SG1,Digital Mesh,Mil-Spec Grade,Battle-Scarred,G3SG1 | Digital Mesh
G3SG1 | Flux (Factory New),G3SG1,Flux,Classified,Factory New,G3SG1 | Flux
G3SG1 | Flux (Minimal Wear),G3SG1,Flux,Classified,Minimal Wear,G3SG1 | Flux
G3SG1 | Flux (Field-Tested),G3SG1,Flux,Classified,Field-Tested,G3SG1 | Flux
G3SG1 | Flux (Well-Worn),G3SG1,Flux,Classified,Well-Worn,G3SG1 | Flux
G3SG1 | Flux (Battle-Scarred),G3SG1,Flux,Classified,Battle-Scarred,G3SG1 | Flux
G3SG1 | Scavenger (Factory New),G3SG1,Scavenger,Restricted,Factory New,G3SG1 | Scavenger
G3SG1 | Scavenger (Minimal Wear),G3SG1,Scavenger,Restricted,Minimal Wear,G3SG1 | Scavenger
G3SG1 | Scavenger (Field-Tested),G3SG1,Scavenger,Restricted,Field-Tested,G3SG1 | Scavenger
G3SG1 | Scavenger (Well-Worn),G3SG1,Scavenger,Restricted,Well-Worn,G3SG1 | Scavenger
G3SG1 | Scavenger (Battle-Scarred),G3SG1,Scavenger,Restricted,Battle-Scarred,G3SG1 | Scavenger
G3SG1 | Ventilator (Factory New),G3SG1,Ventilator,Mil-Spec Grade,Factory New,G3SG1 | Ventilator
G3SG1 | Ventilator (Minimal Wear),G3SG1,Ventilator,Mil-Spec Grade,Minimal Wear,G3SG1 | Ventilator
G3SG1 | Ventilator (Field-Tested),G3SG1,Ventilator,Mil-Spec Grade,Field-Tested,G3SG1 | Ventilator
