market_hash_name,weapon,pattern,rarity,exterior,base_name
★ Hand Wraps | Giraffe (Well-Worn),Hand Wraps,Giraffe,Extraordinary,Well-Worn,★ Hand Wraps | Giraffe
★ Hand Wraps | Giraffe (Battle-Scarred),Hand Wraps,Giraffe,Extraordinary,Battle-Scarred,★ Hand Wraps | Giraffe
★ Hand Wraps | Arboreal (Factory New),Hand Wraps,Arboreal,Extraordinary,Factory New,★ Hand Wraps | Arboreal
★ Hand Wraps | Arboreal (Minimal Wear),Hand Wraps,Arboreal,Extraordinary,Minimal Wear,★ Hand Wraps | Arboreal
★ Hand Wraps | Arboreal (Field-Tested),Hand Wraps,Arboreal,Extraordinary,Field-Tested,★ Hand Wraps | Arboreal
★ Hand Wraps | Arboreal (Well-Worn),Hand Wraps,Arboreal,Extraordinary,Well-Worn,★ Hand Wraps | Arboreal
★ Hand Wraps | Arboreal (Battle-Scarred),Hand Wraps,Arboreal,Extraordinary,Battle-Scarred,★ Hand Wraps | Arboreal
★ Hand Wraps | Leather (Factory New),Hand Wraps,Leather,Extraordinary,Factory New,★ Hand Wraps | Leather
★ Hand Wraps | Leather (Minimal Wear),Hand Wraps,Leather,Extraordinary,Minimal Wear,★ Hand Wraps | Leather
★ Hand Wraps | Leather (Field-Tested),Hand Wraps,Leather,Extraordinary,Field-Tested,★ Hand Wraps | Leather
★ Hand Wraps | Leather (Well-Worn),Hand Wraps,Leather,Extraordinary,Well-Worn,★ Hand Wraps | Leather
★ Hand Wraps | Leather (Battle-Scarred),Hand Wraps,Leather,Extraordinary,Battle-Scarred,★ Hand Wraps | Leather
★ Hand Wraps | Constrictor (Factory New),Hand Wraps,Constrictor,Extraordinary,Factory New,★ Hand Wraps | Constrictor
★ Hand Wraps | Constrictor (Minimal Wear),Hand Wraps,Constrictor,Extraordinary,Minimal Wear,★ Hand Wraps | Constrictor
★ Hand Wraps | Constrictor (Field-Tested),Hand Wraps,Constrictor,Extraordinary,Field-Tested,★ Hand Wraps | Constrictor
★ Hand Wraps | Constrictor (Well-Worn),Hand Wraps,Constrictor,Extraordinary,Well-Worn,★ Hand Wraps | Constrictor
★ Hand Wraps | Constrictor (Battle-Scarred),Hand Wraps,Constrictor,Extraordinary,Battle-Scarred,★ Hand Wraps | Constrictor
★ Hand Wraps | Slaughter (Factory New),Hand Wraps,Slaughter,Extraordinary,Factory New,★ Hand Wraps | Slaughter
★ Hand Wraps | Slaughter (Minimal Wear),Hand Wraps,Slaughter,Extraordinary,Minimal Wear,★ Hand Wraps | Slaughter
★ Hand Wraps | Slaughter (Field-Tested),Hand Wraps,Slaughter,Extraordinary,Field-Tested,★ Hand Wraps | Slaughter
★ Hand Wraps | Slaughter (Well-Worn),Hand Wraps,Slaughter,Extraordinary,Well-Worn,★ Hand Wraps | Slaughter
★ Hand Wraps | Slaughter (Battle-Scarred),Hand Wraps,Slaughter,Extraordinary,Battle-Scarred,★ Hand Wraps | Slaughter
★ Moto Gloves | Eclipse (Factory New),Moto Gloves,Eclipse,Extraordinary,Factory New,★ Moto Gloves | Eclipse
★ Moto Gloves | Eclipse (Minimal Wear),Moto Gloves,Eclipse,Extraordinary,Minimal Wear,★ Moto Gloves | Eclipse
★ Moto Gloves | Eclipse (Field-Tested),Moto Gloves,Eclipse,Extraordinary,Field-Tested,★ Moto Gloves | Eclipse
★ Moto Gloves | Eclipse (Well-Worn),Moto Gloves,Eclipse,Extraordinary,Well-Worn,★ Moto Gloves | Eclipse
★ Moto Gloves | Eclipse (Battle-Scarred),Moto Gloves,Eclipse,Extraordinary,Battle-Scarred,★ Moto Gloves | Eclipse
★ Moto Gloves | Turtle (Factory New),Moto Gloves,Turtle,Extraordinary,Factory New,★ Moto Gloves | Turtle
★ Moto Gloves | Turtle (Minimal Wear),Moto Gloves,Turtle,Extraordinary,Minimal Wear,★ Moto Gloves | Turtle
★ Moto Gloves | Turtle (Field-Tested),Moto Gloves,Turtle,Extraordinary,Field-Tested,★ Moto Gloves | Turtle
★ Moto Gloves | Turtle (Well-Worn),Moto Gloves,Turtle,Extraordinary,Well-Worn,★ Moto Gloves | Turtle
★ Moto Gloves | Turtle (Battle-Scarred),Moto Gloves,Turtle,Extraordinary,Battle-Scarred,★ Moto Gloves | Turtle
